"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
884930,"images",0.995893,1.810835,0.000069,0.246678,3.749859,"2024-09-26 02:25:22"
874562,"images",0.968309,1.274905,0.000039,0.244669,2.639306,"2024-09-25 23:59:51"
891320,"images",0.757018,1.636293,0.000026,0.248655,2.600863,"2024-09-26 03:57:05"
861382,"images",1.002165,1.490168,0.000031,0.258315,2.907801,"2024-09-25 20:52:38"
880340,"images",0.982763,1.767915,0.000032,0.246806,4.327508,"2024-09-26 01:22:31"
855212,"images",0.947936,0.899134,0.000031,0.248895,2.534504,"2024-09-25 19:27:14"
886692,"images",0.971181,1.364206,0.000030,0.246099,4.309360,"2024-09-26 02:51:42"
862201,"images",1.048884,1.340037,0.000032,0.251669,3.356332,"2024-09-25 21:05:37"
867733,"images",0.973924,0.892674,0.000031,0.242186,2.466246,"2024-09-25 22:25:25"
870219,"images",0.970535,1.282803,0.000031,0.247161,2.687223,"2024-09-25 22:59:01"
873405,"images",0.957631,1.443653,0.000032,0.250038,4.257697,"2024-09-25 23:41:51"
892120,"images",0.948624,1.459975,0.000031,0.250930,3.617854,"2024-09-26 04:09:29"
873534,"images",0.938561,1.344470,0.000032,0.247328,4.381164,"2024-09-25 23:44:11"
882533,"images",0.764062,1.590514,0.000027,0.272627,2.401899,"2024-09-26 01:52:47"
885121,"images",0.964421,1.419123,0.000030,0.243788,2.536364,"2024-09-26 02:27:51"
870973,"images",0.980552,1.332162,0.000031,0.252890,2.666535,"2024-09-25 23:09:35"
875690,"images",0.957648,1.246907,0.000034,0.244630,4.299950,"2024-09-26 00:16:46"
851237,"images",0.925930,0.910540,0.000032,0.245757,2.289036,"2024-09-25 18:31:21"
852699,"images",0.967955,1.445730,0.000032,0.253487,3.072815,"2024-09-25 18:54:18"
877787,"images",1.108423,2.142063,0.000034,0.244069,2.272789,"2024-09-26 00:44:29"
871142,"images",0.973652,1.017459,0.000031,0.249907,4.179870,"2024-09-25 23:12:17"
878475,"images",0.947001,1.317852,0.000033,0.248976,3.101139,"2024-09-26 00:54:55"
855469,"images",0.970442,1.255098,0.000031,0.245707,4.379534,"2024-09-25 19:31:24"
884097,"images",0.993911,1.901689,0.000031,0.247781,4.351906,"2024-09-26 02:16:37"
857895,"images",1.013208,1.434980,0.000030,0.275392,2.993518,"2024-09-25 20:03:59"
882891,"images",0.941102,0.779602,0.000029,0.245007,2.705102,"2024-09-26 01:57:57"
859062,"images",0.739906,1.388704,0.000028,0.244407,3.912865,"2024-09-25 20:21:31"
864298,"images",0.956810,1.219173,0.000032,0.244783,4.465161,"2024-09-25 21:37:22"
875520,"images",0.971435,1.455520,0.000033,0.252517,3.087739,"2024-09-26 00:14:22"
