"idobservation","nomedevice","tempo1","tempo2","tempo3","timestamp_column","valorteste"
3810585,"Images",0.317593,0.000877,0.042261,"2024-09-26 13:47:52",NULL
3814251,"Images",0.261947,0.000554,0.048962,"2024-09-26 14:56:14",NULL
3817600,"Images",0.278514,0.000896,0.043070,"2024-09-26 15:58:43",NULL
3816511,"Images",0.317382,0.000896,0.041424,"2024-09-26 15:38:31",NULL
3836926,"Images",0.264986,0.000878,0.036858,"2024-09-26 21:56:54",NULL
3817518,"Images",0.279797,0.000884,0.056209,"2024-09-26 15:57:12",NULL
3831992,"Images",0.240911,0.000168,0.033306,"2024-09-26 20:25:11",NULL
3821284,"Images",0.277689,0.000900,0.048312,"2024-09-26 17:06:50",NULL
3810607,"Images",0.298022,0.000886,0.042198,"2024-09-26 13:48:16",NULL
3822889,"Images",0.317402,0.000885,0.044969,"2024-09-26 17:36:31",NULL
3807825,"Images",0.223633,0.000170,0.026521,"2024-09-26 12:56:32",NULL
3815818,"Images",0.259826,0.000899,0.040963,"2024-09-26 15:25:35",NULL
3827290,"Images",0.260228,0.000888,0.047932,"2024-09-26 18:58:03",NULL
3815869,"Images",0.258993,0.000563,0.039166,"2024-09-26 15:26:36",NULL
3837306,"Images",0.398087,0.041696,0.059660,"2024-09-26 22:03:55",NULL
3817965,"Images",0.260509,0.000555,0.034452,"2024-09-26 16:05:31",NULL
3807065,"Images",0.278819,0.000898,0.041235,"2024-09-26 12:42:42",NULL
3814136,"Images",0.298646,0.000882,0.041307,"2024-09-26 14:54:04",NULL
3810238,"Images",0.243766,0.000743,0.033202,"2024-09-26 13:41:25",NULL
3838091,"Images",0.342585,0.000889,0.034414,"2024-09-26 22:18:26",NULL
3823264,"Images",0.277597,0.000907,0.044343,"2024-09-26 17:43:30",NULL
3836568,"Images",0.297395,0.000882,0.039281,"2024-09-26 21:50:16",NULL
3808628,"Images",0.239541,0.000161,0.024805,"2024-09-26 13:11:31",NULL
3812825,"Images",0.259227,0.000891,0.054629,"2024-09-26 14:29:43",NULL
3830050,"Images",0.297819,0.000884,0.040240,"2024-09-26 19:49:04",NULL
3816605,"Images",0.275422,0.000911,0.025288,"2024-09-26 15:40:15",NULL
3828580,"Images",0.358438,0.000878,0.041752,"2024-09-26 19:21:53",NULL
3834941,"Images",0.337011,0.000895,0.046611,"2024-09-26 21:20:01",NULL
3820087,"Images",0.240250,0.000877,0.037698,"2024-09-26 16:44:47",NULL
3807532,"Images",0.263216,0.000933,0.035278,"2024-09-26 12:51:18",NULL
3809895,"Images",0.337509,0.000881,0.070189,"2024-09-26 13:35:02",NULL
3830376,"Images",0.266541,0.000887,0.023419,"2024-09-26 19:55:06",NULL
3814952,"Images",0.240019,0.000881,0.044501,"2024-09-26 15:09:22",NULL
3832133,"Images",0.307010,0.000880,0.034057,"2024-09-26 20:27:47",NULL
3822746,"Images",0.296669,0.000888,0.039852,"2024-09-26 17:33:51",NULL
3837490,"Images",0.228116,0.000899,0.033457,"2024-09-26 22:07:21",NULL
3826423,"Images",0.260199,0.000981,0.080722,"2024-09-26 18:42:01",NULL
3832654,"Images",0.276581,0.000896,0.040830,"2024-09-26 20:37:29",NULL
3825416,"Images",0.278436,0.000878,0.048133,"2024-09-26 18:23:25",NULL
3820474,"Images",0.239747,0.000883,0.041248,"2024-09-26 16:51:54",NULL
3814843,"Images",0.416829,0.000883,0.053112,"2024-09-26 15:07:20",NULL
3817156,"Images",0.320126,0.000898,0.042615,"2024-09-26 15:50:27",NULL
3836637,"Images",0.278014,0.000900,0.039499,"2024-09-26 21:51:32",NULL
3825305,"Images",0.259487,0.000901,0.038930,"2024-09-26 18:21:21",NULL
3812324,"Images",0.286573,0.000878,0.037536,"2024-09-26 14:20:23",NULL
3828813,"Images",0.257505,0.000165,0.034566,"2024-09-26 19:26:12",NULL
3813391,"Images",0.257903,0.000168,0.025056,"2024-09-26 14:40:11",NULL
3817020,"Images",0.278991,0.000879,0.043716,"2024-09-26 15:47:57",NULL
3812973,"Images",0.242252,0.000671,0.037923,"2024-09-26 14:32:27",NULL
3829008,"Images",0.277461,0.000896,0.058133,"2024-09-26 19:29:48",NULL
3814285,"Images",0.239909,0.000879,0.040696,"2024-09-26 14:56:53",NULL
3806987,"Images",0.359622,0.000898,0.042729,"2024-09-26 12:41:14",NULL
3832189,"Images",0.558095,0.000896,0.047393,"2024-09-26 20:28:51",NULL
3825961,"Images",0.284647,0.012976,0.043517,"2024-09-26 18:33:28",NULL
3810963,"Images",0.262673,0.000551,0.037621,"2024-09-26 13:54:55",NULL
3820429,"Images",0.278102,0.000166,0.023291,"2024-09-26 16:51:05",NULL
3837814,"Images",0.262375,0.000561,0.037945,"2024-09-26 22:13:18",NULL
3837310,"Images",0.284000,0.000551,0.050784,"2024-09-26 22:04:01",NULL
3808893,"Images",0.357848,0.000912,0.041976,"2024-09-26 13:16:29",NULL
3831051,"Images",0.299806,0.000878,0.041254,"2024-09-26 20:07:41",NULL
3836383,"Images",0.239917,0.000910,0.050908,"2024-09-26 21:46:48",NULL
3836598,"Images",0.240075,0.000876,0.039684,"2024-09-26 21:50:50",NULL
3820536,"Images",0.296379,0.000945,0.048073,"2024-09-26 16:53:03",NULL
3812528,"Images",0.298440,0.000890,0.039453,"2024-09-26 14:24:12",NULL
3832779,"Images",0.258365,0.001250,0.039269,"2024-09-26 20:39:48",NULL
3823184,"Images",0.279195,0.000885,0.042340,"2024-09-26 17:42:00",NULL
3811801,"Images",0.239677,0.000164,0.023280,"2024-09-26 14:10:36",NULL
3830408,"Images",0.297069,0.000893,0.064050,"2024-09-26 19:55:43",NULL
3812864,"Images",0.278887,0.000965,0.040373,"2024-09-26 14:30:27",NULL
3807952,"Images",0.287722,0.008942,0.044849,"2024-09-26 12:58:54",NULL
3820033,"Images",0.299281,0.000878,0.039962,"2024-09-26 16:43:48",NULL
3831352,"Images",0.339924,0.000883,0.044125,"2024-09-26 20:13:19",NULL
3832264,"Images",0.240323,0.000165,0.028087,"2024-09-26 20:30:11",NULL
3813037,"Images",0.261113,0.000876,0.043761,"2024-09-26 14:33:38",NULL
3813231,"Images",0.244935,0.000903,0.043651,"2024-09-26 14:37:14",NULL
3811987,"Images",0.319264,0.000167,0.024043,"2024-09-26 14:14:03",NULL
3836454,"Images",0.298535,0.000885,0.041140,"2024-09-26 21:48:08",NULL
3810292,"Images",0.303557,0.000883,0.033777,"2024-09-26 13:42:25",NULL
3827148,"Images",0.278300,0.000167,0.024214,"2024-09-26 18:55:26",NULL
3837408,"Images",0.239709,0.000883,0.049955,"2024-09-26 22:05:50",NULL
3814068,"Images",0.363136,0.000880,0.038316,"2024-09-26 14:52:48",NULL
3814389,"Images",0.276751,0.000164,0.020211,"2024-09-26 14:58:49",NULL
3813857,"Images",0.296597,0.000882,0.037754,"2024-09-26 14:48:51",NULL
3836913,"Images",0.276879,0.000878,0.046304,"2024-09-26 21:56:37",NULL
3818536,"Images",0.298401,0.000892,0.044431,"2024-09-26 16:16:07",NULL
3829014,"Images",0.258179,0.000898,0.040990,"2024-09-26 19:29:55",NULL
3819687,"Images",0.278056,0.000893,0.038841,"2024-09-26 16:37:25",NULL
3831941,"Images",0.222114,0.000168,0.026333,"2024-09-26 20:24:14",NULL
3810652,"Images",0.240120,0.000877,0.047091,"2024-09-26 13:49:07",NULL
3816805,"Images",0.240494,0.000164,0.025500,"2024-09-26 15:43:57",NULL
3829596,"Images",0.279926,0.000899,0.121503,"2024-09-26 19:40:39",NULL
3819193,"Images",0.239666,0.000942,0.039150,"2024-09-26 16:28:17",NULL
3820841,"Images",0.298613,0.000887,0.041717,"2024-09-26 16:58:39",NULL
3830302,"Images",0.357414,0.000947,0.045377,"2024-09-26 19:53:44",NULL
3813540,"Images",0.258847,0.000933,0.040752,"2024-09-26 14:42:58",NULL
3815091,"Images",0.243183,0.000573,0.039619,"2024-09-26 15:11:59",NULL
3819769,"Images",0.279638,0.000880,0.039725,"2024-09-26 16:38:55",NULL
3815329,"Images",0.318919,0.000892,0.023784,"2024-09-26 15:16:27",NULL
3836626,"Images",0.240527,0.000167,0.033197,"2024-09-26 21:51:20",NULL
3814958,"Images",0.277719,0.000884,0.039946,"2024-09-26 15:09:27",NULL
3824474,"Images",0.317553,0.000166,0.026452,"2024-09-26 18:05:58",NULL
3816682,"Images",0.268700,0.000553,0.031185,"2024-09-26 15:41:41",NULL
3834285,"Images",0.301054,0.000166,0.028143,"2024-09-26 21:07:47",NULL
3826232,"Images",0.279713,0.000878,0.040028,"2024-09-26 18:38:28",NULL
3824960,"Images",0.322563,0.000898,0.034697,"2024-09-26 18:14:59",NULL
3838808,"Images",0.261964,0.000561,0.040599,"2024-09-26 22:31:42",NULL
3832365,"Images",0.259890,0.000888,0.042354,"2024-09-26 20:32:03",NULL
3824437,"Images",0.378507,0.000167,0.024291,"2024-09-26 18:05:17",NULL
3821841,"Images",0.336777,0.000885,0.042680,"2024-09-26 17:17:07",NULL
3830593,"Images",0.280217,0.000897,0.039827,"2024-09-26 19:59:09",NULL
3825780,"Images",0.258379,0.000889,0.044851,"2024-09-26 18:30:08",NULL
3822480,"Images",0.205451,0.000568,0.036488,"2024-09-26 17:28:57",NULL
3837080,"Images",0.282860,0.000896,0.033811,"2024-09-26 21:59:44",NULL
3814910,"Images",0.276820,0.000893,0.037648,"2024-09-26 15:08:35",NULL
3825408,"Images",0.260384,0.000166,0.021982,"2024-09-26 18:23:16",NULL
3832355,"Images",0.280241,0.000896,0.040550,"2024-09-26 20:31:51",NULL
3808957,"Images",0.280208,0.000168,0.024655,"2024-09-26 13:17:40",NULL
3818207,"Images",0.277297,0.000883,0.093922,"2024-09-26 16:10:01",NULL
3825604,"Images",0.296986,0.000959,0.038250,"2024-09-26 18:26:53",NULL
3807355,"Images",0.284144,0.000942,0.035876,"2024-09-26 12:48:04",NULL
3807351,"Images",0.323382,0.000954,0.041624,"2024-09-26 12:47:58",NULL
3833989,"Images",0.260626,0.000562,0.039881,"2024-09-26 21:02:18",NULL
3819415,"Images",0.261692,0.000250,0.022764,"2024-09-26 16:32:24",NULL
3813911,"Images",0.277079,0.000895,0.038982,"2024-09-26 14:49:52",NULL
3816569,"Images",0.260111,0.016991,0.043998,"2024-09-26 15:39:36",NULL
3809001,"Images",0.298084,0.000886,0.038866,"2024-09-26 13:18:28",NULL
3813483,"Images",0.316457,0.000167,0.026362,"2024-09-26 14:41:53",NULL
3811892,"Images",0.263202,0.000252,0.037635,"2024-09-26 14:12:18",NULL
3837787,"Images",0.224019,0.000251,0.031320,"2024-09-26 22:12:48",NULL
3812761,"Images",0.319635,0.000878,0.040817,"2024-09-26 14:28:34",NULL
3834650,"Images",0.298918,0.000882,0.041668,"2024-09-26 21:14:36",NULL
3835864,"Images",0.240218,0.000886,0.039492,"2024-09-26 21:37:15",NULL
3814116,"Images",0.278454,0.000898,0.047736,"2024-09-26 14:53:42",NULL
3813524,"Images",0.316938,0.000893,0.155941,"2024-09-26 14:42:39",NULL
3814453,"Images",0.280287,0.000179,0.361132,"2024-09-26 15:00:02",NULL
3817291,"Images",0.226150,0.000556,0.037349,"2024-09-26 15:52:59",NULL
3820235,"Images",0.259226,0.000161,0.025434,"2024-09-26 16:47:31",NULL
3811763,"Images",0.299083,0.000886,0.040548,"2024-09-26 14:09:55",NULL
3811656,"Images",0.419439,0.001001,0.041275,"2024-09-26 14:07:52",NULL
3807767,"Images",0.299238,0.000912,0.038173,"2024-09-26 12:55:29",NULL
3822442,"Images",0.338572,0.001186,0.041223,"2024-09-26 17:28:15",NULL
3816480,"Images",0.219616,0.000166,0.025189,"2024-09-26 15:37:56",NULL
3827860,"Images",0.405592,0.000922,0.031534,"2024-09-26 19:08:35",NULL
3838688,"Images",0.260331,0.000167,0.022704,"2024-09-26 22:29:28",NULL
3809105,"Images",0.359793,0.000876,0.044906,"2024-09-26 13:20:25",NULL
3825516,"Images",0.297197,0.000895,0.043998,"2024-09-26 18:25:16",NULL
3820625,"Images",0.290752,0.008959,0.025582,"2024-09-26 16:54:42",NULL
3817115,"Images",0.336410,0.000877,0.063693,"2024-09-26 15:49:43",NULL
3824490,"Images",0.222105,0.000908,0.037523,"2024-09-26 18:06:16",NULL
3825151,"Images",0.319746,0.000167,0.025292,"2024-09-26 18:18:31",NULL
3826735,"Images",0.223116,0.016992,0.049720,"2024-09-26 18:47:47",NULL
3809506,"Images",0.283588,0.000171,0.021887,"2024-09-26 13:27:50",NULL
3827328,"Images",0.278042,0.000164,0.023726,"2024-09-26 18:58:44",NULL
3830926,"Images",0.321335,0.000896,0.035079,"2024-09-26 20:05:20",NULL
3821571,"Images",0.298684,0.000900,0.042058,"2024-09-26 17:12:09",NULL
3812957,"Images",0.379779,0.000885,0.047629,"2024-09-26 14:32:09",NULL
3834957,"Images",0.258153,0.000899,0.070857,"2024-09-26 21:20:19",NULL
3814864,"Images",0.265056,0.000884,0.036725,"2024-09-26 15:07:43",NULL
3833510,"Images",0.258728,0.000551,0.031809,"2024-09-26 20:53:25",NULL
3816056,"Images",0.259476,0.000888,0.061598,"2024-09-26 15:30:01",NULL
3837531,"Images",0.259657,0.000891,0.039727,"2024-09-26 22:08:06",NULL
3826633,"Images",0.486564,0.000885,0.030847,"2024-09-26 18:45:54",NULL
