"idobservation","nomedevice","tempo1","tempo2","tempo3","tempo4","tempo5","timestamp_column"
911086,"images",0.938029,0.833545,0.000031,0.253081,2.644286,"2024-09-26 14:43:49"
920802,"images",0.935532,0.975500,0.000052,0.249811,4.209971,"2024-09-26 16:57:09"
905496,"images",0.962663,1.384233,0.000030,0.240911,3.049966,"2024-09-26 13:24:59"
928485,"images",0.784762,1.178015,0.000027,0.258573,3.253245,"2024-09-26 18:45:49"
925020,"images",0.723487,1.275529,0.000028,0.244709,2.100743,"2024-09-26 17:56:55"
930272,"images",0.952044,1.531395,0.000033,0.250446,2.284895,"2024-09-26 19:11:18"
905678,"images",0.985733,1.307825,0.000032,0.257564,4.307780,"2024-09-26 13:27:30"
919611,"images",0.982463,1.183821,0.000030,0.244421,2.761378,"2024-09-26 16:43:00"
921993,"images",0.931226,0.817046,0.000033,0.249650,3.968493,"2024-09-26 17:15:51"
902470,"images",0.918043,0.817592,0.000033,0.250120,3.704225,"2024-09-26 12:43:19"
940699,"images",0.966124,1.077518,0.000053,0.265797,3.889072,"2024-09-26 21:35:46"
941912,"images",0.981359,1.157690,0.000027,0.243159,4.140748,"2024-09-26 21:53:37"
934016,"images",0.720051,1.278281,0.000028,0.243575,2.728039,"2024-09-26 20:03:18"
919927,"images",0.906282,1.300867,0.000030,0.240971,4.004652,"2024-09-26 16:47:51"
915797,"images",0.723088,0.810043,0.000027,0.244001,2.878124,"2024-09-26 15:50:47"
920584,"images",0.942173,1.183824,0.000031,0.245547,3.237950,"2024-09-26 16:55:01"
914619,"images",1.103533,1.668744,0.000031,0.271281,4.209429,"2024-09-26 15:33:06"
903886,"images",0.951998,1.286264,0.000033,0.250851,4.212487,"2024-09-26 13:04:46"
903279,"images",0.957517,1.119255,0.000040,0.246800,3.670600,"2024-09-26 12:55:28"
933062,"images",0.984302,1.085674,0.000032,0.247950,4.204389,"2024-09-26 19:48:33"
934932,"images",0.770981,1.050662,0.000027,0.251168,2.170368,"2024-09-26 20:16:51"
