"idobservation","nomedevice","tempo1","tempo2","tempo3","timestamp_column","valorteste"
3797315,"Images",0.279404,0.000922,0.040835,"2024-09-26 01:17:05",NULL
3788635,"Images",0.298148,0.000878,0.043129,"2024-09-25 22:36:43",NULL
3795260,"Images",0.358503,0.000885,0.039459,"2024-09-26 00:39:03",NULL
3797338,"Images",0.297305,0.000942,0.040390,"2024-09-26 01:17:32",NULL
3776104,"Images",0.339224,0.000166,0.026170,"2024-09-25 18:44:57",NULL
3784366,"Images",0.318856,0.000892,0.042166,"2024-09-25 21:17:41",NULL
3783311,"Images",0.282218,0.000951,0.039549,"2024-09-25 20:58:09",NULL
3777696,"Images",0.241673,0.000164,0.024313,"2024-09-25 19:14:27",NULL
3778446,"Images",0.278450,0.000899,0.038741,"2024-09-25 19:28:13",NULL
3796304,"Images",0.298600,0.000929,0.042370,"2024-09-26 00:58:21",NULL
3784460,"Images",0.417653,0.000883,0.041950,"2024-09-25 21:19:26",NULL
3806782,"Images",0.345651,0.000895,0.039983,"2024-09-26 04:13:22",NULL
3801860,"Images",0.247230,0.000925,0.038088,"2024-09-26 02:41:22",NULL
3804115,"Images",0.261706,0.000167,0.024286,"2024-09-26 03:23:30",NULL
3775893,"Images",0.257598,0.000164,0.026444,"2024-09-25 18:41:05",NULL
3785877,"Images",0.259900,0.000880,0.039474,"2024-09-25 21:45:41",NULL
3797958,"Images",0.241280,0.000165,0.023148,"2024-09-26 01:28:59",NULL
3806568,"Images",0.265840,0.000911,0.032765,"2024-09-26 04:09:21",NULL
3774844,"Images",0.298361,0.000903,0.048947,"2024-09-25 18:21:40",NULL
3796956,"Images",0.240056,0.000167,0.029068,"2024-09-26 01:10:26",NULL
3796472,"Images",0.241461,0.000247,0.021531,"2024-09-26 01:01:27",NULL
3797453,"Images",0.278796,0.000878,0.041823,"2024-09-26 01:19:40",NULL
3775376,"Images",0.339296,0.000166,0.028687,"2024-09-25 18:31:31",NULL
3797758,"Images",0.263754,0.001075,0.052304,"2024-09-26 01:25:18",NULL
